reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon,model
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.01,0.102859403580753,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.025,0.658744559908349,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.05,1.26526960792027,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.1,2.35697520460483,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.15,3.30316941355403,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.2,4.19660788376291,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.25,4.48432518835665,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.3,4.90558139690113,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.35,5.85,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.4,6.8,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.45,7.45,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.5,8.55,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.55,10.2,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.6,11.2,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.65,12.410889868404,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.7,13.3215607187047,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.75,14.444949828427,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.8,16.5,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.85,18.2365388870239,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.9,22.3995827370172,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.95,25.9250477790833,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.975,28.5,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-13,01,quantile,0.99,37.0804441646661,0,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.01,0.0928257412342231,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.025,0.196135902187471,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.05,0.585870500498727,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.1,1.45504828930469,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.15,2.10584025617657,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.2,2.60386283781464,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.25,3.18721273413074,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.3,3.45474381369495,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.35,4.44896226865974,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.4,5.28346498800337,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.45,6.13107748176842,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.5,8.5,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.55,10.75,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.6,12.915408612729,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.65,14.4192353999063,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.7,15.4798423483614,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.75,17.1531624979451,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.8,18.6958150495824,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.85,21.0,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.9,23.55,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.95,29.525,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.975,33.5,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-20,01,quantile,0.99,39.4783054733277,1,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.01,0.0,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.025,0.0404852108910163,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.05,0.62857609208339,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.1,0.975962554735685,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.15,1.58196192237925,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.2,1.90946408007818,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.25,2.67859003283835,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.3,2.9630398039317,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.35,3.8,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.4,4.55354865760715,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.45,5.9,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.5,8.03838010117099,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.55,9.01452053397034,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.6,10.0819653225524,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.65,12.0,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.7,14.4,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.75,15.4614838269547,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.8,18.0,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.85,22.15,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.9,24.1715313400618,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.95,31.0,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.975,36.7629808781077,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-05-27,01,quantile,0.99,47.0,2,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-06-03,01,quantile,0.01,0.0,3,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-06-03,01,quantile,0.025,0.0,3,FluSight-ensemble
2023-05-13,wk inc flu hosp,2023-06-03,01,quantile,0.05,0.451210115056011,3,FluSight-ensemble
