reference_date,location,target,target_end_date,output_type,output_type_id,value,horizon,model
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.01,1.99,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.025,2.4750000000000014,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.05,4.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.1,6.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.15,7.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.2,8.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.25,9.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.3,10.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.35,11.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.4,12.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.45,13.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.5,14.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.55,15.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.6,16.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.65,17.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.7,18.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.75,20.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.8,21.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.85,22.149999999999977,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.9,25.0,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.95,29.049999999999955,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.975,33.52499999999998,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-04-29,quantile,0.99,39.00999999999999,0,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.01,0.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.025,0.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.05,0.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.1,1.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.15,3.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.2,4.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.25,6.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.3,7.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.35,9.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.4,11.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.45,13.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.5,14.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.55,15.450000000000044,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.6,16.399999999999977,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.65,18.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.7,20.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.75,22.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.8,26.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.85,29.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.9,32.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.95,38.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.975,43.0,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-06,quantile,0.99,54.03999999999997,1,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.01,0.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.025,0.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.05,0.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.1,0.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.15,0.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.2,2.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.25,4.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.3,5.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.35,7.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.4,9.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.45,10.550000000000011,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.5,12.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.55,15.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.6,18.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.65,20.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.7,22.299999999999955,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.75,24.25,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.8,29.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.85,32.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.9,38.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.95,48.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.975,56.0,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-13,quantile,0.99,65.01999999999998,2,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.01,0.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.025,0.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.05,0.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.1,0.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.15,0.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.2,0.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.25,0.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.3,2.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.35,4.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.4,6.600000000000023,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.45,9.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.5,12.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.55,14.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.6,18.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.65,20.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.7,23.299999999999955,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.75,26.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.8,29.200000000000045,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.85,35.14999999999998,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.9,42.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.95,56.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.975,63.0,3,CEPH-Rtrend_fluH
2023-04-29,01,wk inc flu hosp,2023-05-20,quantile,0.99,69.01999999999998,3,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.01,0.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.025,0.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.05,0.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.1,0.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.15,0.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.2,0.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.25,0.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.3,0.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.35,1.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.4,1.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.45,1.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.5,2.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.55,2.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.6,2.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.65,3.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.7,3.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.75,4.0,0,CEPH-Rtrend_fluH
2023-04-29,02,wk inc flu hosp,2023-04-29,quantile,0.8,4.0,0,CEPH-Rtrend_fluH
