reference_date,location,target,target_end_date,output_type,output_type_id,value,horizon,model
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.01,0.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.025,1.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.05,2.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.1,3.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.15,4.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.2,4.800000000000011,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.25,5.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.3,5.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.35,6.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.4,7.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.45,7.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.5,8.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.55,9.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.6,10.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.65,11.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.7,12.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.75,13.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.8,15.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.85,16.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.9,18.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.95,19.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.975,22.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-13,quantile,0.99,26.0,0,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-20,quantile,0.01,0.0,1,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-20,quantile,0.025,0.0,1,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-20,quantile,0.05,0.0,1,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-20,quantile,0.1,0.0,1,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-20,quantile,0.15,0.0,1,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-20,quantile,0.2,1.0,1,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-20,quantile,0.25,2.0,1,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-20,quantile,0.3,3.0,1,CEPH-Rtrend_fluH
2023-05-13,01,wk inc flu hosp,2023-05-20,quantile,0.35,4.0,1,CEPH-Rtrend_fluH
