reference_date,location,target,target_end_date,output_type,output_type_id,value,horizon,model
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.01,0.0,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.025,0.6752769303450618,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.05,1.345601962040473,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.1,2.435447375349829,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.15,3.285700057727302,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.2,4.0181354551910085,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.25,4.7190489679719985,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.3,5.351087851448012,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.35,6.3602639892965005,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.4,7.072500851515696,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.45,7.932678335784798,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.5,8.814195194223302,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.55,9.485915227038513,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.6,10.380641171627522,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.65,11.238968257257556,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.7,12.07235652574324,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.75,12.998701964680228,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.8,14.11320072876284,0,CEPH-Rtrend_fluH
2023-03-11,01,wk inc flu hosp,2023-03-11,quantile,0.85,15.564726327013522,0,CEPH-Rtrend_fluH
