date,location,location_name,value,weekly_rate
2023-09-23,02,Alaska,5,0.7028137852707098
2023-09-23,01,Alabama,11,0.2172291123347034
2023-09-23,05,Arkansas,6,0.1972465693890419
2023-09-23,04,Arizona,9,0.1225988003298725
2023-09-23,06,California,51,0.1311507415507227
2023-09-23,08,Colorado,8,0.1378419600575352
2023-09-23,09,Connecticut,16,0.4418560272890282
2023-09-23,11,District of Columbia,1,0.149571626860671
2023-09-23,10,Delaware,0,0.0
2023-09-23,12,Florida,166,0.7482920459440497
2023-09-23,13,Georgia,30,0.2763587778088323
2023-09-23,15,Hawaii,5,0.3574040173641167
2023-09-23,19,Iowa,0,0.0
2023-09-23,16,Idaho,3,0.1549970266403723
2023-09-23,17,Illinois,23,0.1830758914840736
2023-09-23,18,Indiana,13,0.1902826736940497
2023-09-23,20,Kansas,4,0.1371529986274413
2023-09-23,21,Kentucky,13,0.2892501945207558
2023-09-23,22,Louisiana,18,0.3934362591730757
2023-09-23,25,Massachusetts,10,0.1432939437387854
2023-09-23,24,Maryland,6,0.0978293302114907
2023-09-23,23,Maine,1,0.0722259980368973
2023-09-23,26,Michigan,17,0.1694564683776786
2023-09-23,27,Minnesota,4,0.0699722979672347
2023-09-23,29,Missouri,16,0.2595490950901908
2023-09-23,28,Mississippi,20,0.6832222812450359
2023-09-23,30,Montana,3,0.2679616957687955
2023-09-23,37,North Carolina,13,0.1226812998404576
2023-09-23,38,North Dakota,1,0.129523444391052
2023-09-23,31,Nebraska,6,0.3058875710232704
2023-09-23,33,New Hampshire,2,0.143400836887284
2023-09-23,34,New Jersey,29,0.3133733593959112
2023-09-23,35,New Mexico,8,0.3809380504257221
2023-09-23,32,Nevada,4,0.1263607872150682
2023-09-23,36,New York,19,0.0966567449365855
2023-09-23,39,Ohio,9,0.0766002885447758
2023-09-23,40,Oklahoma,17,0.4248655300597361
2023-09-23,41,Oregon,6,0.1415540034421215
2023-09-23,42,Pennsylvania,50,0.385526532090149
2023-09-23,72,Puerto Rico,85,2.638285747452735
2023-09-23,44,Rhode Island,1,0.0917103054870275
2023-09-23,45,South Carolina,31,0.5909220270760472
2023-09-23,46,South Dakota,0,0.0
2023-09-23,47,Tennessee,25,0.3555880736897966
2023-09-23,48,Texas,129,0.4312275755392877
2023-09-23,US,US,978,0.2944009047848894
2023-09-23,49,Utah,2,0.0592375300556418
2023-09-23,51,Virginia,45,0.5242393112846823
2023-09-23,50,Vermont,1,0.1545810081773353
2023-09-23,53,Washington,31,0.4007324872793289
2023-09-23,55,Wisconsin,0,0.0
2023-09-23,54,West Virginia,5,0.2816937909617983
2023-09-23,56,Wyoming,0,0.0
2023-09-16,02,Alaska,5,0.7028137852707098
2023-09-16,01,Alabama,20,0.3949620224267335
2023-09-16,05,Arkansas,7,0.2301209976205488
