reference_date,target_end_date,location,0.025,0.05,0.25,0.5,0.75,0.95,0.975
2023-10-14,2023-10-07,01,7.0,8.0,16.99,24.198,36.747,53.758,60.331
2023-10-14,2023-10-07,02,0.53,1.051,3.12,4.77,9.45,18.01,21.696
2023-10-14,2023-10-07,04,5.0,6.0,14.0,22.788,34.114,51.485,55.343
2023-10-14,2023-10-07,05,2.0,3.0,7.0,12.879,18.751,27.355,31.505
2023-10-14,2023-10-07,06,12.925,15.841,35.918,63.832,130.591,201.516,247.223
2023-10-14,2023-10-07,08,3.983,5.612,9.964,14.83,22.54,33.861,38.473
2023-10-14,2023-10-07,09,1.0,1.0,6.743,10.828,16.58,25.86,30.234
2023-10-14,2023-10-07,10,0.0,0.0,0.0,0.722,1.969,3.944,4.601
2023-10-14,2023-10-07,11,0.0,0.0,0.0,1.0,2.0,3.649,3.917
2023-10-14,2023-10-07,12,53.692,74.85,131.027,193.5,256.665,337.062,385.891
2023-10-14,2023-10-07,13,8.0,10.0,28.432,42.279,56.528,82.511,85.126
2023-10-14,2023-10-07,15,2.49,3.0,6.605,10.65,16.935,31.124,36.621
2023-10-14,2023-10-07,16,0.0,0.0,2.0,3.0,5.588,9.53,10.833
2023-10-14,2023-10-07,17,3.925,5.0,11.0,20.0,41.54,72.388,84.508
2023-10-14,2023-10-07,18,2.0,3.0,8.473,17.872,29.23,45.264,50.694
2023-10-14,2023-10-07,19,0.0,0.0,3.698,9.56,13.966,20.905,24.268
2023-10-14,2023-10-07,20,0.0,0.0,2.001,8.345,13.501,19.723,21.971
2023-10-14,2023-10-07,21,4.0,4.946,10.869,15.017,22.973,33.757,38.092
2023-10-14,2023-10-07,22,4.0,5.0,11.818,18.0,26.958,43.68,47.038
2023-10-14,2023-10-07,23,0.0,0.0,1.0,2.011,4.177,7.749,8.855
2023-10-14,2023-10-07,24,1.475,2.985,6.0,10.0,18.002,30.41,32.861
2023-10-14,2023-10-07,25,2.0,4.0,11.044,24.19,33.172,47.077,53.33
2023-10-14,2023-10-07,26,1.0,2.0,6.0,17.481,36.505,55.997,62.257
2023-10-14,2023-10-07,27,0.0,0.0,1.0,2.742,10.65,21.085,24.308
2023-10-14,2023-10-07,28,6.0,7.0,14.621,21.515,29.424,45.065,49.109
2023-10-14,2023-10-07,29,3.989,4.0,10.238,17.0,24.963,39.916,43.93
2023-10-14,2023-10-07,30,0.589,0.73,2.721,4.704,7.416,12.758,15.778
2023-10-14,2023-10-07,31,0.0,0.0,1.0,2.227,5.26,9.613,11.608
2023-10-14,2023-10-07,32,1.0,2.0,5.752,9.0,12.421,19.022,21.367
2023-10-14,2023-10-07,33,0.0,0.0,0.0,1.466,3.815,6.965,7.75
2023-10-14,2023-10-07,34,3.0,5.0,10.0,20.0,33.533,51.086,55.121
2023-10-14,2023-10-07,35,0.985,1.458,4.418,6.848,9.872,17.475,21.283
2023-10-14,2023-10-07,36,11.925,15.0,34.449,70.62,100.943,142.42,153.326
2023-10-14,2023-10-07,37,3.0,3.85,9.0,20.97,37.239,59.801,64.243
2023-10-14,2023-10-07,38,0.0,0.0,1.908,3.513,5.369,10.558,11.724
2023-10-14,2023-10-07,39,3.0,4.0,11.0,30.39,48.826,71.422,78.854
2023-10-14,2023-10-07,40,4.925,6.593,18.118,25.175,37.298,61.191,71.032
2023-10-14,2023-10-07,41,0.0,1.0,3.0,7.366,14.875,25.923,27.695
2023-10-14,2023-10-07,42,11.0,16.0,43.262,65.191,93.016,138.512,143.31
2023-10-14,2023-10-07,44,0.0,0.0,0.0,0.0,1.807,4.427,5.15
2023-10-14,2023-10-07,45,9.898,11.93,23.536,31.767,43.432,65.859,73.49
2023-10-14,2023-10-07,46,0.53,0.969,2.296,3.28,5.276,8.091,9.176
2023-10-14,2023-10-07,47,13.484,17.023,28.024,41.098,57.284,82.708,94.43
2023-10-14,2023-10-07,48,42.0,59.85,98.92,144.625,198.69,302.239,345.407
2023-10-14,2023-10-07,49,0.0,0.0,4.064,6.872,11.423,17.741,21.061
2023-10-14,2023-10-07,50,0.038,0.173,0.865,1.584,2.64,5.151,6.448
2023-10-14,2023-10-07,51,17.5,25.341,43.699,64.0,87.291,131.181,151.926
2023-10-14,2023-10-07,53,11.89,18.302,30.171,42.72,61.666,93.437,105.45
2023-10-14,2023-10-07,54,1.771,2.254,4.67,7.888,11.281,17.758,20.095
2023-10-14,2023-10-07,55,1.758,2.06,7.0,13.11,23.129,34.543,42.248
2023-10-14,2023-10-07,56,0.0,0.0,0.21,1.032,2.413,4.964,5.999
2023-10-14,2023-10-07,US,263.299,359.82,747.642,1214.455,1829.734,2757.525,3116.987
2024-05-04,2024-05-25,01,9.987,12.362,19.829,25.94,33.692,47.586,52.427
2024-05-04,2024-05-25,02,0.0,0.0,1.0,2.0,4.0,8.0,10.0
2024-05-04,2024-05-25,04,10.0,12.0,23.0,32.0,44.0,66.0,74.0
2024-05-04,2024-05-25,05,10.067,12.441,18.646,23.263,29.398,37.51,41.104
2024-05-04,2024-05-25,06,57.564,65.199,88.188,106.922,129.288,174.85,190.446
2024-05-04,2024-05-25,08,3.0,4.0,8.0,11.0,15.0,21.0,23.0
2024-05-04,2024-05-25,09,15.241,17.626,24.081,29.389,34.415,43.076,46.249
2024-05-04,2024-05-25,10,0.0,0.0,0.0,0.0,1.0,3.0,3.0
2024-05-04,2024-05-25,11,0.0,0.0,1.0,3.0,5.0,10.0,12.0
2024-05-04,2024-05-25,12,114.662,135.851,200.573,259.664,328.156,439.463,486.554
2024-05-04,2024-05-25,13,12.995,16.005,25.138,33.307,42.984,63.092,69.531
2024-05-04,2024-05-25,15,4.505,5.35,8.641,11.5,14.439,19.926,22.3
2024-05-04,2024-05-25,16,2.702,3.303,5.813,8.264,10.866,14.953,16.694
2024-05-04,2024-05-25,17,28.758,31.097,43.259,52.056,62.667,77.967,83.782
2024-05-04,2024-05-25,18,10.314,11.524,16.58,21.405,26.594,35.535,38.908
2024-05-04,2024-05-25,19,1.0,1.0,3.0,5.0,8.0,13.0,15.0
2024-05-04,2024-05-25,20,2.675,3.235,5.461,7.468,9.663,13.621,14.955
2024-05-04,2024-05-25,21,5.269,6.555,10.711,14.245,18.83,25.722,28.726
2024-05-04,2024-05-25,22,6.189,7.167,11.038,15.156,19.516,28.47,31.663
2024-05-04,2024-05-25,23,0.0,0.0,2.0,5.0,8.0,15.0,18.0
2024-05-04,2024-05-25,24,5.508,6.863,10.754,13.953,18.643,26.302,29.694
2024-05-04,2024-05-25,25,10.664,12.186,17.967,22.806,29.232,40.617,44.715
2024-05-04,2024-05-25,26,17.173,18.41,25.144,30.72,37.623,50.128,53.138
2024-05-04,2024-05-25,27,4.28,5.233,8.882,11.894,15.063,21.374,23.125
2024-05-04,2024-05-25,28,10.021,11.907,18.547,24.423,31.777,45.438,50.418
2024-05-04,2024-05-25,29,13.223,15.187,23.125,29.072,35.79,48.615,53.165
2024-05-04,2024-05-25,30,0.0,0.0,0.0,0.0,1.0,2.0,3.0
2024-05-04,2024-05-25,31,1.44,1.956,3.671,5.115,7.292,11.782,13.573
2024-05-04,2024-05-25,32,6.75,8.0,11.812,15.228,19.714,27.107,29.325
2024-05-04,2024-05-25,33,0.0,0.0,1.0,2.0,3.0,5.0,6.0
2024-05-04,2024-05-25,34,17.729,21.303,30.713,38.421,45.717,58.292,61.957
2024-05-04,2024-05-25,35,0.0,1.0,3.0,5.0,7.0,11.0,13.0
2024-05-04,2024-05-25,36,32.877,37.694,56.624,70.311,85.283,112.012,119.269
2024-05-04,2024-05-25,37,5.337,6.148,10.047,13.15,17.655,25.701,28.75
2024-05-04,2024-05-25,38,0.0,0.0,1.0,2.0,4.0,8.0,10.0
2024-05-04,2024-05-25,39,11.0,13.0,20.0,27.0,34.0,46.0,51.0
2024-05-04,2024-05-25,40,12.885,14.476,20.928,26.747,32.618,44.065,49.059
2024-05-04,2024-05-25,41,8.769,9.974,14.218,17.91,21.681,28.46,30.927
2024-05-04,2024-05-25,42,37.704,42.441,65.373,84.085,104.625,148.491,161.939
2024-05-04,2024-05-25,44,0.0,0.0,1.0,2.0,3.0,6.0,8.0
2024-05-04,2024-05-25,45,12.046,14.607,22.568,29.863,40.163,56.332,62.592
2024-05-04,2024-05-25,46,0.0,1.0,2.0,4.0,6.0,10.0,11.0
2024-05-04,2024-05-25,47,16.95,19.416,29.906,38.789,50.161,70.372,77.266
2024-05-04,2024-05-25,48,102.0,111.0,144.0,169.0,198.0,244.0,260.0
2024-05-04,2024-05-25,49,0.0,0.0,1.0,2.0,3.0,7.0,8.0
2024-05-04,2024-05-25,50,0.0,0.0,0.0,1.0,2.0,4.0,5.0
2024-05-04,2024-05-25,51,21.519,24.416,35.859,46.889,58.363,84.161,91.577
2024-05-04,2024-05-25,53,12.052,14.277,22.338,28.51,36.994,52.11,59.849
2024-05-04,2024-05-25,54,0.798,1.443,3.818,5.72,7.575,10.287,11.415
2024-05-04,2024-05-25,55,5.407,6.473,10.331,13.238,17.215,23.177,25.572
2024-05-04,2024-05-25,56,0.0,0.0,1.0,2.0,3.0,7.0,8.0
2024-05-04,2024-05-25,US,661.063,763.124,1132.582,1449.423,1822.691,2492.595,2738.663
